success,failure,stuck,success_percent,failure_percent
45,236,0,0.1601,0.8399
45,236,1,0.1601,0.8399
45,236,2,0.1601,0.8399
45,237,1,0.1596,0.8404
45,238,1,0.159,0.841
45,239,0,0.1585,0.8415
45,239,1,0.1585,0.8415
45,239,2,0.1585,0.8415
45,240,1,0.1579,0.8421
46,240,1,0.1608,0.8392
46,241,0,0.1603,0.8397
46,241,1,0.1603,0.8397
46,241,2,0.1603,0.8397
46,241,3,0.1603,0.8397
46,242,2,0.1597,0.8403
46,243,1,0.1592,0.8408
47,243,0,0.1621,0.8379
47,243,1,0.1621,0.8379
47,244,0,0.1615,0.8385
47,244,1,0.1615,0.8385
47,245,0,0.161,0.839
48,245,0,0.1638,0.8362
48,245,1,0.1638,0.8362
48,245,2,0.1638,0.8362
48,245,3,0.1638,0.8362
49,245,2,0.1667,0.8333
49,246,1,0.1661,0.8339
49,247,0,0.1655,0.8345
49,247,1,0.1655,0.8345
49,247,2,0.1655,0.8345
49,247,3,0.1655,0.8345
50,247,2,0.1684,0.8316
51,247,1,0.1711,0.8289
51,248,0,0.1706,0.8294
51,248,1,0.1706,0.8294
51,248,2,0.1706,0.8294
51,248,3,0.1706,0.8294
51,248,4,0.1706,0.8294
51,248,5,0.1706,0.8294
51,248,6,0.1706,0.8294
51,248,7,0.1706,0.8294
51,248,8,0.1706,0.8294
51,248,9,0.1706,0.8294
51,248,10,0.1706,0.8294
51,248,11,0.1706,0.8294
51,248,12,0.1706,0.8294
51,249,11,0.17,0.83
51,249,12,0.17,0.83
51,249,13,0.17,0.83
51,250,12,0.1694,0.8306
51,251,11,0.1689,0.8311
51,252,10,0.1683,0.8317
51,253,9,0.1678,0.8322
51,254,8,0.1672,0.8328
52,254,7,0.1699,0.8301
52,255,6,0.1694,0.8306
52,256,5,0.1688,0.8312
52,257,4,0.1683,0.8317
52,258,3,0.1677,0.8323
52,259,2,0.1672,0.8328
52,260,1,0.1667,0.8333
52,261,0,0.1661,0.8339
52,261,1,0.1661,0.8339
52,261,2,0.1661,0.8339
52,262,2,0.1656,0.8344
52,262,3,0.1656,0.8344
52,263,2,0.1651,0.8349
52,264,1,0.1646,0.8354
52,265,0,0.164,0.836
52,265,1,0.164,0.836
52,265,2,0.164,0.836
52,266,2,0.1635,0.8365
52,267,1,0.163,0.837
52,268,0,0.1625,0.8375
52,268,1,0.1625,0.8375
53,268,0,0.1651,0.8349
53,268,1,0.1651,0.8349
53,268,2,0.1651,0.8349
53,268,3,0.1651,0.8349
53,269,2,0.1646,0.8354
53,270,1,0.1641,0.8359
53,271,0,0.1636,0.8364
53,271,1,0.1636,0.8364
54,271,1,0.1662,0.8338
54,272,1,0.1656,0.8344
55,272,0,0.1682,0.8318
55,272,1,0.1682,0.8318
55,272,2,0.1682,0.8318
56,272,1,0.1707,0.8293
57,272,0,0.1733,0.8267
57,272,1,0.1733,0.8267
57,272,2,0.1733,0.8267
57,273,1,0.1727,0.8273
58,273,0,0.1752,0.8248
58,273,1,0.1752,0.8248
58,273,2,0.1752,0.8248
58,273,3,0.1752,0.8248
58,274,2,0.1747,0.8253
58,275,1,0.1742,0.8258
58,276,0,0.1737,0.8263
58,276,1,0.1737,0.8263
59,276,0,0.1761,0.8239
59,276,1,0.1761,0.8239
59,276,2,0.1761,0.8239
59,276,3,0.1761,0.8239
59,276,4,0.1761,0.8239
59,276,5,0.1761,0.8239
59,276,6,0.1761,0.8239
59,276,7,0.1761,0.8239
60,276,6,0.1786,0.8214
61,276,5,0.181,0.819
61,277,4,0.1805,0.8195
62,277,3,0.1829,0.8171
62,278,2,0.1824,0.8176
62,279,1,0.1818,0.8182
62,280,0,0.1813,0.8187
62,280,1,0.1813,0.8187
62,280,2,0.1813,0.8187
62,280,3,0.1813,0.8187
62,281,2,0.1808,0.8192
62,282,1,0.1802,0.8198
62,283,0,0.1797,0.8203
62,283,1,0.1797,0.8203
62,283,2,0.1797,0.8203
62,283,3,0.1797,0.8203
62,284,2,0.1792,0.8208
63,284,1,0.1816,0.8184
63,285,0,0.181,0.819
64,285,0,0.1834,0.8166
64,285,1,0.1834,0.8166
64,285,2,0.1834,0.8166
64,285,3,0.1834,0.8166
64,285,4,0.1834,0.8166
64,285,5,0.1834,0.8166
64,285,6,0.1834,0.8166
64,285,7,0.1834,0.8166
64,285,8,0.1834,0.8166
64,285,9,0.1834,0.8166
64,285,10,0.1834,0.8166
64,285,11,0.1834,0.8166
65,285,10,0.1857,0.8143
66,285,9,0.188,0.812
66,286,8,0.1875,0.8125
66,287,7,0.187,0.813
67,287,6,0.1893,0.8107
67,288,5,0.1887,0.8113
68,288,4,0.191,0.809
68,289,3,0.1905,0.8095
68,290,2,0.1899,0.8101
68,291,1,0.1894,0.8106
68,292,0,0.1889,0.8111
68,292,1,0.1889,0.8111
68,293,1,0.1884,0.8116
68,294,1,0.1878,0.8122
68,295,1,0.1873,0.8127
68,296,0,0.1868,0.8132
68,296,1,0.1868,0.8132
68,296,2,0.1868,0.8132
69,296,1,0.189,0.811
69,297,0,0.1885,0.8115
70,297,0,0.1907,0.8093
70,297,1,0.1907,0.8093
70,297,2,0.1907,0.8093
70,297,3,0.1907,0.8093
70,297,4,0.1907,0.8093
70,298,3,0.1902,0.8098
70,299,2,0.1897,0.8103
70,300,1,0.1892,0.8108
71,300,0,0.1914,0.8086
71,300,1,0.1914,0.8086
71,301,1,0.1909,0.8091
71,301,2,0.1909,0.8091
71,301,3,0.1909,0.8091
71,301,4,0.1909,0.8091
71,301,5,0.1909,0.8091
71,301,6,0.1909,0.8091
71,302,6,0.1903,0.8097
71,303,5,0.1898,0.8102
71,304,4,0.1893,0.8107
71,305,3,0.1888,0.8112
71,306,2,0.1883,0.8117
71,307,1,0.1878,0.8122
71,308,0,0.1873,0.8127
71,308,1,0.1873,0.8127
71,308,2,0.1873,0.8127
71,308,3,0.1873,0.8127
71,308,4,0.1873,0.8127
71,309,3,0.1868,0.8132
72,309,2,0.189,0.811
72,310,1,0.1885,0.8115
72,311,0,0.188,0.812
72,311,1,0.188,0.812
72,311,2,0.188,0.812
72,312,2,0.1875,0.8125
72,313,2,0.187,0.813
72,313,3,0.187,0.813
72,314,2,0.1865,0.8135
